relative_path,lane_case,scenario_group,file_name,extension,role,size_bytes,modified_iso
1lane/50-6040/00h20m00.EST,1lane,50-6040,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/00h30m00.EST,1lane,50-6040,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/00h40m00.EST,1lane,50-6040,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/00h50m00.EST,1lane,50-6040,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h00m00.EST,1lane,50-6040,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h10m00.EST,1lane,50-6040,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h20m00.EST,1lane,50-6040,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h30m00.EST,1lane,50-6040,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h40m00.EST,1lane,50-6040,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/01h50m00.EST,1lane,50-6040,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/02h00m00.EST,1lane,50-6040,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-6040/GLOBAL.EST,1lane,50-6040,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/50-6040/Incidents,1lane,50-6040,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:24
1lane/50-7030/00h10m00.EST,1lane,50-7030,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/00h20m00.EST,1lane,50-7030,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/00h30m00.EST,1lane,50-7030,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/00h40m00.EST,1lane,50-7030,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/00h50m00.EST,1lane,50-7030,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/01h00m00.EST,1lane,50-7030,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/50-7030/01h10m00.EST,1lane,50-7030,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/01h20m00.EST,1lane,50-7030,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/01h30m00.EST,1lane,50-7030,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/01h40m00.EST,1lane,50-7030,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/01h50m00.EST,1lane,50-7030,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/02h00m00.EST,1lane,50-7030,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-7030/GLOBAL.EST,1lane,50-7030,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/50-7030/Incidents,1lane,50-7030,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/50-8020/00h10m00.EST,1lane,50-8020,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/00h20m00.EST,1lane,50-8020,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/00h30m00.EST,1lane,50-8020,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/00h40m00.EST,1lane,50-8020,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/00h50m00.EST,1lane,50-8020,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h00m00.EST,1lane,50-8020,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h10m00.EST,1lane,50-8020,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h20m00.EST,1lane,50-8020,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h30m00.EST,1lane,50-8020,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h40m00.EST,1lane,50-8020,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/01h50m00.EST,1lane,50-8020,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/02h00m00.EST,1lane,50-8020,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-8020/GLOBAL.EST,1lane,50-8020,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/50-8020/Incidents,1lane,50-8020,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/50-9010/00h10m00.EST,1lane,50-9010,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/00h20m00.EST,1lane,50-9010,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/00h30m00.EST,1lane,50-9010,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/00h40m00.EST,1lane,50-9010,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/00h50m00.EST,1lane,50-9010,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/01h00m00.EST,1lane,50-9010,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/01h10m00.EST,1lane,50-9010,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/50-9010/01h20m00.EST,1lane,50-9010,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/01h30m00.EST,1lane,50-9010,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/01h40m00.EST,1lane,50-9010,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/01h50m00.EST,1lane,50-9010,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/02h00m00.EST,1lane,50-9010,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/50-9010/GLOBAL.EST,1lane,50-9010,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/50-9010/Incidents,1lane,50-9010,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/60-1090/00h10m00.EST,1lane,60-1090,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/00h20m00.EST,1lane,60-1090,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/00h30m00.EST,1lane,60-1090,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/00h40m00.EST,1lane,60-1090,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/00h50m00.EST,1lane,60-1090,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/01h00m00.EST,1lane,60-1090,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/01h10m00.EST,1lane,60-1090,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/01h20m00.EST,1lane,60-1090,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/60-1090/01h30m00.EST,1lane,60-1090,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/60-1090/01h40m00.EST,1lane,60-1090,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/01h50m00.EST,1lane,60-1090,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/02h00m00.EST,1lane,60-1090,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-1090/GLOBAL.EST,1lane,60-1090,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-1090/Incidents,1lane,60-1090,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/60-2080/00h10m00.EST,1lane,60-2080,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/00h20m00.EST,1lane,60-2080,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/00h30m00.EST,1lane,60-2080,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/00h40m00.EST,1lane,60-2080,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/00h50m00.EST,1lane,60-2080,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h00m00.EST,1lane,60-2080,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h10m00.EST,1lane,60-2080,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h20m00.EST,1lane,60-2080,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h30m00.EST,1lane,60-2080,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h40m00.EST,1lane,60-2080,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/01h50m00.EST,1lane,60-2080,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/02h00m00.EST,1lane,60-2080,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-2080/GLOBAL.EST,1lane,60-2080,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-2080/Incidents,1lane,60-2080,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/60-3070/00h10m00.EST,1lane,60-3070,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/00h20m00.EST,1lane,60-3070,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/00h30m00.EST,1lane,60-3070,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/00h40m00.EST,1lane,60-3070,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/00h50m00.EST,1lane,60-3070,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h00m00.EST,1lane,60-3070,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h10m00.EST,1lane,60-3070,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h20m00.EST,1lane,60-3070,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h30m00.EST,1lane,60-3070,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h40m00.EST,1lane,60-3070,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/01h50m00.EST,1lane,60-3070,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/02h00m00.EST,1lane,60-3070,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-3070/GLOBAL.EST,1lane,60-3070,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-3070/Incidents,1lane,60-3070,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:24
1lane/60-4060/00h10m00.EST,1lane,60-4060,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/00h20m00.EST,1lane,60-4060,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/00h30m00.EST,1lane,60-4060,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/00h40m00.EST,1lane,60-4060,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/00h50m00.EST,1lane,60-4060,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h00m00.EST,1lane,60-4060,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h10m00.EST,1lane,60-4060,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h20m00.EST,1lane,60-4060,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h30m00.EST,1lane,60-4060,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h40m00.EST,1lane,60-4060,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/01h50m00.EST,1lane,60-4060,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/02h00m00.EST,1lane,60-4060,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-4060/GLOBAL.EST,1lane,60-4060,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-4060/Incidents,1lane,60-4060,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:24
1lane/60-5050/00h10m00.EST,1lane,60-5050,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/00h20m00.EST,1lane,60-5050,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/00h30m00.EST,1lane,60-5050,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/00h40m00.EST,1lane,60-5050,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/00h50m00.EST,1lane,60-5050,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h00m00.EST,1lane,60-5050,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h10m00.EST,1lane,60-5050,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h20m00.EST,1lane,60-5050,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h30m00.EST,1lane,60-5050,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h40m00.EST,1lane,60-5050,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/01h50m00.EST,1lane,60-5050,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/02h00m00.EST,1lane,60-5050,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-5050/GLOBAL.EST,1lane,60-5050,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-5050/Incidents,1lane,60-5050,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:24
1lane/60-6040/00h10m00.EST,1lane,60-6040,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/00h20m00.EST,1lane,60-6040,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/00h30m00.EST,1lane,60-6040,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/00h40m00.EST,1lane,60-6040,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/00h50m00.EST,1lane,60-6040,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h00m00.EST,1lane,60-6040,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h10m00.EST,1lane,60-6040,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h20m00.EST,1lane,60-6040,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h30m00.EST,1lane,60-6040,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h40m00.EST,1lane,60-6040,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/01h50m00.EST,1lane,60-6040,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/02h00m00.EST,1lane,60-6040,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-6040/GLOBAL.EST,1lane,60-6040,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-6040/Incidents,1lane,60-6040,Incidents,,AIMSUN2 incident definition file,51,2002-06-08 00:01:24
1lane/60-7030/00h10m00.EST,1lane,60-7030,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/00h20m00.EST,1lane,60-7030,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/00h30m00.EST,1lane,60-7030,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/00h40m00.EST,1lane,60-7030,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/00h50m00.EST,1lane,60-7030,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/01h00m00.EST,1lane,60-7030,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/60-7030/01h10m00.EST,1lane,60-7030,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/01h20m00.EST,1lane,60-7030,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/01h30m00.EST,1lane,60-7030,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/60-7030/01h40m00.EST,1lane,60-7030,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/01h50m00.EST,1lane,60-7030,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/02h00m00.EST,1lane,60-7030,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-7030/GLOBAL.EST,1lane,60-7030,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-7030/Incidents,1lane,60-7030,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/60-8020/00h10m00.EST,1lane,60-8020,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/00h20m00.EST,1lane,60-8020,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/00h30m00.EST,1lane,60-8020,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/00h40m00.EST,1lane,60-8020,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/00h50m00.EST,1lane,60-8020,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h00m00.EST,1lane,60-8020,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h10m00.EST,1lane,60-8020,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h20m00.EST,1lane,60-8020,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h30m00.EST,1lane,60-8020,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h40m00.EST,1lane,60-8020,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/01h50m00.EST,1lane,60-8020,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/02h00m00.EST,1lane,60-8020,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-8020/GLOBAL.EST,1lane,60-8020,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-8020/Incidents,1lane,60-8020,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/60-9010/00h10m00.EST,1lane,60-9010,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/00h20m00.EST,1lane,60-9010,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/00h30m00.EST,1lane,60-9010,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/00h40m00.EST,1lane,60-9010,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/00h50m00.EST,1lane,60-9010,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/01h00m00.EST,1lane,60-9010,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/01h10m00.EST,1lane,60-9010,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/60-9010/01h20m00.EST,1lane,60-9010,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/01h30m00.EST,1lane,60-9010,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/01h40m00.EST,1lane,60-9010,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/01h50m00.EST,1lane,60-9010,01h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/02h00m00.EST,1lane,60-9010,02h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/60-9010/GLOBAL.EST,1lane,60-9010,GLOBAL.EST,.EST,AIMSUN2 global statistics/output file,6046,2002-06-08 00:01:24
1lane/60-9010/Incidents,1lane,60-9010,Incidents,,AIMSUN2 incident definition file,50,2002-06-08 00:01:24
1lane/70/70-1090/00h10m00.EST,1lane,70,00h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/00h20m00.EST,1lane,70,00h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/00h30m00.EST,1lane,70,00h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/00h40m00.EST,1lane,70,00h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/00h50m00.EST,1lane,70,00h50m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/01h00m00.EST,1lane,70,01h00m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/01h10m00.EST,1lane,70,01h10m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
1lane/70/70-1090/01h20m00.EST,1lane,70,01h20m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/70/70-1090/01h30m00.EST,1lane,70,01h30m00.EST,.EST,AIMSUN2 statistics/output snapshot,6040,2002-06-08 00:01:24
1lane/70/70-1090/01h40m00.EST,1lane,70,01h40m00.EST,.EST,AIMSUN2 statistics/output snapshot,6058,2002-06-08 00:01:24
